"","GoldCoast","BellsBeach","Rio","Jbay","Tahiti","NewYork","Trestles","France","Portugal","Isabela","Pipeline"
"Kelly Slater","1","5","13","NA","1","2","1","5","2","5","3"
"Joel Parkinson","9","1","5","3","25","9","5","25","5","2","2"
"Owen Wright","13","5","5","13","2","1","2","9","13","9","13"
"Taj Burrow","2","25","2","13","25","3","9","5","3","13","9"
"Adriano de Souza","9","3","1","13","25","9","5","25","1","13","13"
"Michel Bourez","9","9","9","9","9","25","13","5","5","25","3"
"Jordy Smith","3","3","13","1","13","NA","NA","3","13","13","13"
"Josh Kerr","13","13","5","5","3","5","5","25","13","5","13"
"Julian Wilson","13","25","25","5","13","5","3","2","5","13","13"
"Alejo Muniz","5","13","25","5","25","3","25","5","25","3","13"
"Mick Fanning","13","2","13","2","13","13","5","13","13","25","NA"
"Gabriel Medina","NA","25","NA","NA","NA","NA","13","1","13","1","5"
"Jeremy Flores","NA","13","3","13","5","9","9","9","NA","NA","NA"
"Damien Hobgood","25","13","9","5","13","13","9","9","9","25","13"
"Kieren Perrow","25","13","13","13","25","13","13","13","25","5","1"
"Bede Durbidge","25","9","3","9","25","25","25","13","3","13","25"
"Adrian Buchan","9","25","13","3","13","13","9","9","25","13","25"
"Heitor Alves","13","13","13","13","25","5","3","NA","5","NA","NA"
"Brett Simpson","5","25","NA","25","5","13","13","13","13","5","25"
"Matt Wilkinson","5","13","25","13","5","25","13","25","13","9","3"
"Taylor Knox","25","25","13","25","13","25","13","3","13","3","25"
"Jadson Andre","13","5","13","13","13","5","13","13","25","25","25"
"Tiago Pires","3","9","25","13","13","13","25","13","25","13","25"
"Freddy Patacchia Jr.","13","NA","NA","25","9","9","13","25","9","13","3"
"Chris Davidson","25","5","25","25","9","25","13","25","9","13","3"
"Kai Otton","13","25","25","13","9","13","13","13","13","25","3"
"Adam Melling","13","13","13","9","25","13","25","25","25","13","13"
"Daniel Ross","13","25","9","9","25","25","25","25","13","13","3"
"Raoni Monteiro","25","25","9","25","5","13","25","25","25","13","25"
"Travis Logie","NA","NA","NA","13","3","25","25","13","13","25","13"
"C.J. Hobgood","25","9","13","25","13","13","NA","NA","NA","NA","9"
"Dusty Payne","5","25","25","13","13","NA","25","25","13","25","13"
"Patrick Gudauskas","25","13","13","25","25","13","25","13","25","9","NA"
"John John Florence","NA","NA","NA","NA","NA","NA","13","25","9","25","5"
"Bobby Martinez","25","13","5","NA","NA","NA","NA","NA","NA","NA","NA"
"Miguel Pupo","NA","NA","NA","NA","NA","NA","25","13","25","9","25"
"Cory Lopez","13","25","13","25","13","25","NA","NA","NA","NA","NA"
"Dane Reynolds","NA","NA","NA","NA","NA","NA","NA","13","NA","25","3"
"Gabe Kling","25","13","25","25","25","25","NA","NA","NA","NA","NA"
"Tom Whitaker","NA","NA","NA","NA","NA","NA","13","NA","NA",NA,"NA"
